Date,Open,High,Low,Close,Adj Close,Volume
05/06/2015,5.505,5.59,5.4475,5.565,5.393356,31332000
08/06/2015,5.5475,5.585,5.375,5.4375,5.269787,34281200
09/06/2015,5.4425,5.505,5.4325,5.465,5.296439,25688800
10/06/2015,5.4,5.435,5.3375,5.3675,5.201948,52946000
11/06/2015,5.3675,5.4625,5.3675,5.425,5.257674,28305200
12/06/2015,5.39,5.4225,5.265,5.2775,5.114723,32372800
15/06/2015,5.25,5.2925,5.21,5.2675,5.105031,30654800
16/06/2015,5.2575,5.34,5.205,5.3325,5.168027,25689200
17/06/2015,5.33,5.425,5.3175,5.395,5.228599,23354400
18/06/2015,5.44,5.52,5.425,5.485,5.315823,29940400
19/06/2015,5.485,5.53,5.4175,5.4675,5.298863,35565600
22/06/2015,5.4775,5.5075,5.3625,5.445,5.277057,51423600
23/06/2015,5.455,5.4975,5.2625,5.305,5.141375,41406400
24/06/2015,5.2975,5.325,5.2275,5.2525,5.090493,25336800
25/06/2015,5.2525,5.325,5.2525,5.2925,5.129261,35046000
26/06/2015,5.25,5.255,5.1625,5.185,5.025076,42129600
29/06/2015,5.125,5.1775,5.0225,5.03,4.874858,39172400
30/06/2015,5.06,5.0825,4.9925,5.0275,4.872434,31591600
01/07/2015,5.1525,5.225,5.055,5.1,4.942698,30289200
02/07/2015,5.0975,5.1375,5.0725,5.105,4.947543,14576400
06/07/2015,5.0625,5.1325,5.005,5.0425,4.886971,21477600
07/07/2015,5.0125,5.0325,4.79,4.9475,4.794903,59425200
08/07/2015,4.92,4.95,4.8725,4.9125,4.760982,33249200
09/07/2015,4.99,5.0125,4.8225,4.8525,4.702831,35758800
10/07/2015,4.915,4.9825,4.9025,4.9375,4.78521,21670800
13/07/2015,4.9875,4.9975,4.9375,4.97,4.816708,21247200
14/07/2015,4.9775,4.9825,4.9075,4.9725,4.81913,24921600
15/07/2015,4.96,4.9925,4.8925,4.9375,4.78521,26573200
16/07/2015,4.9675,5.0475,4.95,5.0475,4.891818,28284800
17/07/2015,5.03,5.035,4.9525,5.0175,4.862742,22037200
20/07/2015,5.0175,5.0375,4.9125,4.925,4.773097,18841200
21/07/2015,4.915,5.0175,4.915,4.9475,4.794903,14972000
22/07/2015,4.9125,4.9125,4.7925,4.8525,4.702831,35647200
23/07/2015,4.8625,4.985,4.8525,4.9125,4.760982,16991600
24/07/2015,4.9475,4.9525,4.835,4.855,4.705255,18884400
27/07/2015,4.8125,4.8825,4.7725,4.8275,4.678602,19242000
28/07/2015,4.84,4.965,4.79,4.9325,4.780363,19830800
29/07/2015,4.9225,5.0325,4.9025,4.9925,4.838514,23268000
30/07/2015,4.98,5.055,4.98,5.005,4.850628,19018000
31/07/2015,5.025,5.0275,4.9575,4.9875,4.833668,21834000
03/08/2015,5.0275,5.0775,4.9625,5.0725,4.916047,39713200
04/08/2015,5.055,5.1075,5.035,5.0925,4.935429,26010000
05/08/2015,5.2175,5.2225,5.135,5.145,4.986309,23462800
06/08/2015,5.1325,5.17,5.0275,5.1125,4.954812,65567600
07/08/2015,5.615,5.8425,5.47,5.745,5.567803,140524800
10/08/2015,5.705,5.9875,5.67,5.945,5.761635,66230400
11/08/2015,5.8575,5.9725,5.8575,5.915,5.732561,43500800
12/08/2015,5.82,5.9725,5.82,5.93,5.747098,38404800
13/08/2015,5.9375,5.95,5.865,5.88,5.698639,27688400
14/08/2015,5.875,5.92,5.84,5.885,5.703485,21465200
17/08/2015,5.875,5.875,5.775,5.8475,5.667142,27388000
18/08/2015,5.805,5.845,5.725,5.77,5.615561,28708400
19/08/2015,5.7625,5.8275,5.685,5.7475,5.593664,24924800
20/08/2015,5.6825,5.71,5.5125,5.54,5.391717,42693200
21/08/2015,5.5,5.5925,5.3625,5.3675,5.223836,38266400
24/08/2015,5.0675,5.4575,5,5.1775,5.03892,68228400
25/08/2015,5.405,5.425,5.07,5.07,4.934298,62268400
26/08/2015,5.235,5.4575,5.195,5.4525,5.306559,61497600
27/08/2015,5.51,5.66,5.4775,5.6575,5.506072,46376400
28/08/2015,5.6575,5.7175,5.6175,5.6825,5.530403,32094400
31/08/2015,5.655,5.695,5.5975,5.62,5.469574,21935200
01/09/2015,5.4575,5.55,5.35,5.39,5.245733,35340800
02/09/2015,5.5375,5.555,5.445,5.5525,5.403882,34404400
03/09/2015,5.635,5.6625,5.5575,5.5675,5.41848,26255600
04/09/2015,5.4725,5.56,5.435,5.4375,5.29196,28797200
08/09/2015,5.57,5.6925,5.5475,5.67,5.518238,23844800
09/09/2015,5.6875,5.735,5.545,5.5575,5.408748,28939200
10/09/2015,5.525,5.715,5.5,5.645,5.493907,35707600
11/09/2015,5.5825,5.7,5.56,5.6625,5.510939,30158400
14/09/2015,5.69,5.7075,5.6425,5.6725,5.520671,19246000
15/09/2015,5.675,5.765,5.6575,5.735,5.581497,32797600
16/09/2015,5.725,5.8075,5.6825,5.775,5.620428,17350800
17/09/2015,5.875,5.9275,5.815,5.8275,5.67152,26871200
18/09/2015,5.7475,5.8725,5.7125,5.8225,5.666656,32641200
21/09/2015,5.83,5.895,5.8,5.8825,5.72505,28184000
22/09/2015,5.755,5.795,5.6925,5.7225,5.569333,22835600
23/09/2015,5.7275,5.785,5.705,5.75,5.596097,16163200
24/09/2015,5.715,5.92,5.625,5.86,5.703153,38244000
25/09/2015,5.9325,6.0175,5.845,5.9025,5.744515,36969200
28/09/2015,5.9025,5.94,5.7875,5.825,5.669088,39558400
29/09/2015,5.8875,5.9375,5.805,5.9275,5.768845,38073600
30/09/2015,5.9825,6.17,5.9475,6.1625,5.997554,55638000
01/10/2015,6.1625,6.18,5.8675,6.0425,5.880767,48929600
02/10/2015,6.01,6.2,5.9475,6.2,6.03405,38614400
05/10/2015,6.24,6.4325,6.2075,6.355,6.184904,48202400
